TabellarischeAuswertung von: 01.11.2023 00:00:00 bis: 20.11.2023 00:00:00;;;;;
Sps_datum;Trocknung-Durchfluss  7A Netz 700.1 [cm/min];Trocknung-Durchfluss  7B Netz 800.1 [cm/min];Trocknung-Durchfluss 7A Netz 700.5 [cm/min];Trocknung-Durchfluss 7A Netz 700.6 [cm/min];Trocknung-Durchfluss 7C Netz 900.1 [cm/min]
01.11.2023 00:00:00;;78,30;;;
01.11.2023 00:00:01;;74,74;;;
01.11.2023 00:00:03;;72,57;;;
01.11.2023 00:00:05;;70,99;;;
01.11.2023 00:00:06;;70,99;;;
01.11.2023 00:00:07;;79,05;;82,44;
01.11.2023 00:00:08;;79,05;;;
01.11.2023 00:00:09;;85,26;;;12,04
01.11.2023 00:00:11;;82,70;;;
01.11.2023 00:00:13;;80,89;;81,36;
01.11.2023 00:00:14;;80,89;;;
01.11.2023 00:00:15;;75,96;;;
01.11.2023 00:00:16;;75,96;;;
01.11.2023 00:00:17;;68,85;;;
01.11.2023 00:00:18;;68,85;;;
01.11.2023 00:00:19;;63,60;;;
01.11.2023 00:00:20;;63,60;;;
01.11.2023 00:00:21;;71,08;;;13,56
01.11.2023 00:00:23;;;;82,58;
01.11.2023 00:00:24;;71,08;;;
01.11.2023 00:00:25;;65,36;;;
01.11.2023 00:00:27;;;;;11,96
01.11.2023 00:00:29;;;48,12;;
01.11.2023 00:00:31;;67,27;;;10,93
01.11.2023 00:00:34;;67,27;;;
01.11.2023 00:00:35;;77,07;;;
01.11.2023 00:00:37;;;;84,22;
01.11.2023 00:00:38;;77,07;;;
01.11.2023 00:00:39;;71,91;;;
01.11.2023 00:00:43;;69,55;;;9,38
01.11.2023 00:00:45;;67,53;;;
01.11.2023 00:00:47;;65,88;49,24;;
01.11.2023 00:00:48;;65,88;;;
01.11.2023 00:00:49;;76,51;;86,04;11,03
01.11.2023 00:00:50;;76,51;;;
01.11.2023 00:00:51;;85,51;50,51;87,86;12,53
01.11.2023 00:00:53;;88,40;;;
01.11.2023 00:00:55;;;;;13,95
01.11.2023 00:00:57;;89,41;;;
01.11.2023 00:00:59;;88,14;51,69;;
01.11.2023 00:01:01;;86,16;;;
01.11.2023 00:01:02;;86,16;;;
01.11.2023 00:01:03;;89,76;;88,88;
01.11.2023 00:01:05;;;;;15,19
01.11.2023 00:01:06;;89,76;;;
01.11.2023 00:01:07;;82,79;;;
01.11.2023 00:01:09;;80,47;50,27;;16,58
01.11.2023 00:01:15;;82,08;;;18,22
01.11.2023 00:01:16;;82,08;;88,88;
01.11.2023 00:01:17;;93,13;;92,90;19,35
01.11.2023 00:01:18;;93,13;;;
01.11.2023 00:01:19;;97,67;51,74;94,76;20,81
01.11.2023 00:01:20;;97,67;;;
01.11.2023 00:01:21;;93,72;;96,32;
01.11.2023 00:01:23;;92,59;53,84;98,42;22,96
01.11.2023 00:01:24;;92,59;;;
01.11.2023 00:01:25;;88,63;55,31;100,04;24,26
01.11.2023 00:01:26;;88,63;;;
01.11.2023 00:01:27;;85,55;;;
01.11.2023 00:01:29;;87,65;;102,44;25,74
01.11.2023 00:01:30;;87,65;;;
01.11.2023 00:01:31;;97,73;56,34;104,92;
01.11.2023 00:01:32;;97,73;;;
01.11.2023 00:01:33;;101,36;;;
01.11.2023 00:01:35;;;57,61;105,98;
01.11.2023 00:01:37;;103,66;;;24,47
01.11.2023 00:01:39;;102,49;;;
01.11.2023 00:01:41;;100,12;;;
01.11.2023 00:01:44;;100,12;;;
01.11.2023 00:01:45;;103,45;;;
01.11.2023 00:01:46;;103,45;;;
01.11.2023 00:01:47;;99,25;;;
01.11.2023 00:01:48;;99,25;;;
01.11.2023 00:01:49;;95,48;;;
01.11.2023 00:01:53;;96,53;;;
01.11.2023 00:01:55;;99,28;;;
01.11.2023 00:01:56;;99,28;;;
01.11.2023 00:01:57;;107,10;;;
01.11.2023 00:01:58;;107,10;;;
01.11.2023 00:01:59;;113,84;;107,74;
01.11.2023 00:02:02;;113,84;;;
01.11.2023 00:02:03;;108,06;;;25,91
01.11.2023 00:02:04;;108,06;;;
01.11.2023 00:02:05;;104,31;;;
01.11.2023 00:02:07;;101,44;;;
01.11.2023 00:02:08;;101,44;;;
01.11.2023 00:02:09;;96,15;56,60;106,10;
01.11.2023 00:02:10;;96,15;;;
01.11.2023 00:02:11;;91,33;;;
01.11.2023 00:02:12;;91,33;;;
01.11.2023 00:02:13;;96,29;;;24,48
01.11.2023 00:02:16;;96,29;;;
01.11.2023 00:02:17;;93,10;;;
01.11.2023 00:02:19;;95,57;;;
01.11.2023 00:02:21;;96,94;;107,82;
01.11.2023 00:02:23;;98,02;;;
01.11.2023 00:02:25;;99,72;;108,87;
01.11.2023 00:02:26;;99,72;;;
01.11.2023 00:02:27;;108,92;;;
01.11.2023 00:02:29;;;;;26,01
01.11.2023 00:02:30;;108,92;;;
01.11.2023 00:02:31;;104,07;57,97;;
01.11.2023 00:02:32;;104,07;;;
01.11.2023 00:02:33;;95,48;59,03;106,95;27,86
01.11.2023 00:02:34;;95,48;;;
01.11.2023 00:02:35;;88,18;;105,83;
01.11.2023 00:02:37;;86,86;;;29,18
01.11.2023 00:02:38;;86,86;;;
01.11.2023 00:02:39;;97,59;;;
01.11.2023 00:02:40;;97,59;;;
01.11.2023 00:02:41;;105,67;;107,35;
01.11.2023 00:02:43;;107,88;;;
01.11.2023 00:02:45;;106,15;;105,99;
01.11.2023 00:02:47;;;;104,74;27,89
01.11.2023 00:02:48;;106,15;;;
01.11.2023 00:02:49;;97,05;56,42;102,24;
01.11.2023 00:02:50;;97,05;;102,24;
01.11.2023 00:02:51;;90,42;54,21;99,09;
01.11.2023 00:02:53;;92,20;;97,67;
01.11.2023 00:02:57;;;;96,41;
01.11.2023 00:02:59;;94,39;;;
01.11.2023 00:03:00;;94,39;;;
01.11.2023 00:03:01;;99,62;52,80;;29,02
01.11.2023 00:03:06;;99,62;;;
01.11.2023 00:03:07;;107,97;;;30,20
01.11.2023 00:03:10;;107,97;;;
01.11.2023 00:03:11;;101,83;;94,85;
01.11.2023 00:03:12;;101,83;;;
01.11.2023 00:03:13;;93,73;;93,22;31,25
01.11.2023 00:03:14;;93,73;;;
01.11.2023 00:03:15;;89,70;51,26;;
01.11.2023 00:03:17;;87,38;;91,19;
01.11.2023 00:03:19;;89,23;;;32,92
01.11.2023 00:03:20;;89,23;;;
01.11.2023 00:03:21;;98,15;;;
01.11.2023 00:03:22;;98,15;;;
01.11.2023 00:03:23;;107,89;;93,32;33,96
01.11.2023 00:03:26;;107,89;;;
01.11.2023 00:03:27;;103,16;;;
01.11.2023 00:03:28;;103,16;;;
01.11.2023 00:03:29;;99,98;49,33;92,13;
01.11.2023 00:03:30;;99,98;;;
01.11.2023 00:03:31;;93,19;;90,91;
01.11.2023 00:03:32;;93,19;;;
01.11.2023 00:03:33;;87,24;;89,59;
01.11.2023 00:03:36;;87,24;;;
01.11.2023 00:03:37;;92,89;50,92;90,78;
01.11.2023 00:03:39;;91,54;;;
01.11.2023 00:03:41;;89,01;;;35,08
01.11.2023 00:03:42;;89,01;;;
01.11.2023 00:03:43;;92,82;52,60;;
01.11.2023 00:03:45;;;51,35;;36,80
01.11.2023 00:03:47;;94,49;;;
01.11.2023 00:03:48;;94,49;;;
01.11.2023 00:03:49;;100,22;;;
01.11.2023 00:03:50;;100,22;;;
01.11.2023 00:03:51;;109,24;;;
01.11.2023 00:03:53;;;52,49;92,14;
01.11.2023 00:03:54;;109,24;;;
01.11.2023 00:03:55;;103,31;51,26;;
01.11.2023 00:03:56;;103,31;;;
01.11.2023 00:03:57;;100,26;52,45;;35,79
01.11.2023 00:03:58;;100,26;;;
01.11.2023 00:03:59;;93,61;;;
01.11.2023 00:04:01;;90,75;;90,69;
01.11.2023 00:04:02;;90,75;;;
01.11.2023 00:04:03;;97,08;;;
01.11.2023 00:04:04;;97,08;;;
01.11.2023 00:04:05;;103,91;;92,72;
01.11.2023 00:04:09;;102,26;50,44;91,18;
01.11.2023 00:04:10;;102,26;;;
01.11.2023 00:04:11;;98,68;;;
01.11.2023 00:04:13;;95,86;;;
01.11.2023 00:04:15;;94,22;;;
01.11.2023 00:04:16;;94,22;;;
01.11.2023 00:04:17;;91,02;;;
01.11.2023 00:04:18;;91,02;;;
01.11.2023 00:04:19;;87,93;49,36;;37,42
01.11.2023 00:04:20;;87,93;;;
01.11.2023 00:04:21;;91,04;;90,14;
01.11.2023 00:04:23;;93,56;;;
01.11.2023 00:04:25;;91,06;;;
01.11.2023 00:04:27;;89,60;;;
01.11.2023 00:04:29;;92,37;;;
01.11.2023 00:04:34;;92,37;;;
01.11.2023 00:04:35;;101,22;;;
01.11.2023 00:04:36;;101,22;;;
01.11.2023 00:04:37;;107,21;50,57;91,20;38,50
01.11.2023 00:04:38;;107,21;;;
01.11.2023 00:04:39;;104,04;;;
01.11.2023 00:04:40;;104,04;;;
01.11.2023 00:04:41;;97,11;49,25;89,88;
01.11.2023 00:04:42;;97,11;;;
01.11.2023 00:04:43;;91,41;;;
01.11.2023 00:04:44;;91,41;;;
01.11.2023 00:04:45;;83,36;50,49;88,69;
01.11.2023 00:04:47;;81,50;;;
01.11.2023 00:04:48;;81,50;;;
01.11.2023 00:04:49;;85,69;;;
01.11.2023 00:04:50;;85,69;;;
01.11.2023 00:04:51;;97,39;;90,28;
01.11.2023 00:04:57;;;;;40,10
01.11.2023 00:04:58;;97,39;;;
01.11.2023 00:04:59;;93,85;;;
01.11.2023 00:05:00;;93,85;;;
01.11.2023 00:05:01;;89,52;;89,20;
01.11.2023 00:05:03;;86,75;49,37;;
01.11.2023 00:05:04;;86,75;;;
01.11.2023 00:05:05;;90,83;50,40;;
01.11.2023 00:05:11;;92,68;;;
01.11.2023 00:05:15;;95,10;;;
01.11.2023 00:05:16;;95,10;;;
01.11.2023 00:05:17;;98,48;51,96;;39,08
01.11.2023 00:05:18;;98,48;;;
01.11.2023 00:05:19;;106,65;;91,81;
01.11.2023 00:05:22;;106,65;;;
01.11.2023 00:05:23;;100,27;;90,72;
01.11.2023 00:05:24;;100,27;;;
01.11.2023 00:05:25;;93,17;50,92;;
01.11.2023 00:05:26;;93,17;;;
01.11.2023 00:05:27;;86,18;;;
01.11.2023 00:05:29;;83,69;;;
01.11.2023 00:05:30;;83,69;;;
01.11.2023 00:05:31;;89,86;;;
01.11.2023 00:05:32;;89,86;;;
01.11.2023 00:05:33;;98,86;52,02;93,55;
01.11.2023 00:05:35;;101,07;;;
01.11.2023 00:05:37;;98,12;;;40,17
01.11.2023 00:05:39;;96,78;;;41,50
01.11.2023 00:05:40;;96,78;;;
01.11.2023 00:05:41;;91,02;;;42,73
01.11.2023 00:05:42;;91,02;;;
01.11.2023 00:05:43;;84,44;;;
01.11.2023 00:05:45;;86,15;;;44,27
01.11.2023 00:05:47;;;;94,86;
01.11.2023 00:05:49;;87,63;50,64;;45,88
01.11.2023 00:05:51;;89,38;;;
01.11.2023 00:05:53;;92,34;52,08;;
01.11.2023 00:05:55;;94,76;;95,88;
01.11.2023 00:05:57;;;53,43;;
01.11.2023 00:05:58;;94,76;;;
01.11.2023 00:05:59;;100,64;;96,97;43,65
01.11.2023 00:06:01;;98,25;;;42,27
01.11.2023 00:06:02;;98,25;;;
01.11.2023 00:06:03;;90,34;;95,92;
01.11.2023 00:06:04;;90,34;;;
01.11.2023 00:06:05;;83,07;52,10;94,82;40,58
01.11.2023 00:06:06;;83,07;;;
01.11.2023 00:06:07;;78,00;;;
01.11.2023 00:06:10;;78,00;;;
01.11.2023 00:06:11;;81,05;53,36;95,92;38,28
01.11.2023 00:06:12;;81,05;;;
01.11.2023 00:06:13;;93,99;;;
01.11.2023 00:06:14;;93,99;;;
01.11.2023 00:06:15;;102,28;;98,55;36,96
01.11.2023 00:06:17;;104,32;;;
01.11.2023 00:06:19;;101,87;;;
01.11.2023 00:06:20;;101,87;;;
01.11.2023 00:06:21;;97,75;;;
01.11.2023 00:06:22;;97,75;;;
01.11.2023 00:06:23;;91,02;;;
01.11.2023 00:06:24;;91,02;;;
01.11.2023 00:06:25;;84,75;;96,97;
01.11.2023 00:06:26;;84,75;;;
01.11.2023 00:06:27;;90,11;;;35,70
01.11.2023 00:06:29;;92,45;;98,61;33,57
01.11.2023 00:06:31;;93,80;54,82;;32,41
01.11.2023 00:06:33;;;;;31,02
01.11.2023 00:06:35;;96,38;;99,66;
01.11.2023 00:06:37;;98,38;;;29,87
01.11.2023 00:06:41;;101,12;;;28,82
01.11.2023 00:06:43;;102,48;;;
01.11.2023 00:06:44;;102,48;;;
01.11.2023 00:06:45;;96,03;;;27,19
01.11.2023 00:06:46;;96,03;;;
01.11.2023 00:06:47;;86,19;;;
01.11.2023 00:06:49;;83,59;;;
01.11.2023 00:06:53;;85,68;;;
01.11.2023 00:06:54;;85,68;;;
01.11.2023 00:06:55;;90,86;;101,59;26,11
01.11.2023 00:06:56;;90,86;;;
01.11.2023 00:06:57;;106,19;;103,62;
01.11.2023 00:06:59;;107,43;;;
01.11.2023 00:07:00;;107,43;;;
01.11.2023 00:07:01;;104,37;;102,49;
01.11.2023 00:07:02;;104,37;;;
01.11.2023 00:07:03;;97,74;;101,38;24,91
01.11.2023 00:07:04;;97,74;;;
01.11.2023 00:07:05;;91,31;;;
01.11.2023 00:07:06;;91,31;;;
01.11.2023 00:07:07;;86,06;;99,94;
01.11.2023 00:07:08;;86,06;;;
01.11.2023 00:07:09;;89,63;;100,98;
01.11.2023 00:07:11;;;55,97;;
01.11.2023 00:07:12;;89,63;;;
01.11.2023 00:07:13;;85,70;54,96;99,93;
01.11.2023 00:07:15;;84,42;;98,43;
01.11.2023 00:07:17;NaN;83,29;54,29;97,79;24,29
01.11.2023 00:07:19;;84,77;;;
01.11.2023 00:07:20;;84,77;;;
01.11.2023 00:07:21;;88,40;;96,19;
01.11.2023 00:07:22;;88,40;;;
01.11.2023 00:07:23;;100,43;;98,05;23,11
01.11.2023 00:07:24;;100,43;;;
01.11.2023 00:07:25;;105,43;;;
01.11.2023 00:07:27;;;;;21,69
01.11.2023 00:07:29;;102,69;;;
01.11.2023 00:07:30;;102,69;;;
01.11.2023 00:07:31;;99,36;52,38;96,36;
01.11.2023 00:07:32;;99,36;;;
01.11.2023 00:07:33;;95,70;;;20,59
01.11.2023 00:07:34;;95,70;;;
01.11.2023 00:07:35;;92,61;;94,28;
01.11.2023 00:07:36;;92,61;;;
01.11.2023 00:07:37;;97,05;;;21,89
01.11.2023 00:07:39;;95,34;53,47;;
01.11.2023 00:07:40;;95,34;;;
01.11.2023 00:07:41;;90,44;;;23,24
01.11.2023 00:07:43;;;52,28;;
01.11.2023 00:07:45;;91,49;;;
01.11.2023 00:07:48;;91,49;;;
01.11.2023 00:07:49;;94,87;;;
01.11.2023 00:07:50;;94,87;;;
01.11.2023 00:07:51;;102,67;;;21,93
01.11.2023 00:07:53;;104,63;53,43;95,51;
01.11.2023 00:07:55;;103,30;;;20,52
01.11.2023 00:07:56;;103,30;;;
01.11.2023 00:07:57;;98,52;51,80;92,93;
01.11.2023 00:07:59;;95,61;;;
01.11.2023 00:08:00;;95,61;;;
01.11.2023 00:08:01;;88,08;50,00;90,34;
01.11.2023 00:08:02;;88,08;;;
01.11.2023 00:08:03;;81,07;;;
01.11.2023 00:08:06;;81,07;;;
01.11.2023 00:08:07;;90,49;51,31;;
01.11.2023 00:08:09;;91,54;;;19,27
01.11.2023 00:08:11;;;50,10;;
01.11.2023 00:08:13;;94,39;;;
01.11.2023 00:08:18;;94,39;;;
01.11.2023 00:08:19;;97,69;;;
01.11.2023 00:08:21;;98,99;;91,71;
01.11.2023 00:08:22;;98,99;;;
01.11.2023 00:08:23;;90,26;;90,61;18,11
01.11.2023 00:08:24;;90,26;;;
01.11.2023 00:08:25;;83,74;48,82;89,44;
01.11.2023 00:08:26;;83,74;;;
01.11.2023 00:08:27;;76,30;;;
01.11.2023 00:08:28;;76,30;;;
01.11.2023 00:08:29;;71,64;;88,28;
01.11.2023 00:08:32;;71,64;;;
01.11.2023 00:08:33;;83,98;49,95;90,66;
01.11.2023 00:08:34;;83,98;;;
01.11.2023 00:08:35;;92,27;51,40;91,69;
01.11.2023 00:08:36;;92,27;;;
01.11.2023 00:08:37;;96,06;;;
01.11.2023 00:08:39;;98,18;;;
01.11.2023 00:08:41;;97,15;;92,82;
01.11.2023 00:08:42;;97,15;;;
01.11.2023 00:08:43;;93,52;52,46;;16,41
01.11.2023 00:08:44;;93,52;;;
01.11.2023 00:08:45;;87,86;;;
01.11.2023 00:08:46;;87,86;;;
01.11.2023 00:08:47;;80,73;;;
01.11.2023 00:08:48;;80,73;;;
01.11.2023 00:08:49;;74,44;51,26;;
01.11.2023 00:08:50;;74,44;;;
01.11.2023 00:08:51;;70,93;;91,70;
01.11.2023 00:08:53;;73,84;;;
01.11.2023 00:08:54;;73,84;;;
01.11.2023 00:08:55;;78,90;;92,90;
01.11.2023 00:08:56;;78,90;;;
01.11.2023 00:08:57;;83,84;;;
01.11.2023 00:08:58;;83,84;;;
01.11.2023 00:08:59;;89,60;;;
01.11.2023 00:09:01;;91,11;;94,32;
01.11.2023 00:09:03;;88,24;52,65;;
01.11.2023 00:09:04;;88,24;;;
01.11.2023 00:09:05;;83,38;;;
01.11.2023 00:09:06;;83,38;;;
01.11.2023 00:09:07;;77,95;51,40;;
01.11.2023 00:09:08;;77,95;;;
01.11.2023 00:09:09;;72,12;;93,07;
01.11.2023 00:09:11;;70,98;;92,00;
01.11.2023 00:09:12;;70,98;;;
01.11.2023 00:09:13;;75,19;;;
01.11.2023 00:09:14;;75,19;;;
01.11.2023 00:09:15;;80,85;52,70;93,02;
01.11.2023 00:09:16;;80,85;;;
01.11.2023 00:09:17;;89,20;;;
01.11.2023 00:09:19;;91,43;53,92;94,07;
01.11.2023 00:09:21;;;52,41;;
01.11.2023 00:09:23;;89,64;;95,50;
01.11.2023 00:09:24;;89,64;;;
01.11.2023 00:09:25;;86,39;;;
01.11.2023 00:09:26;;86,39;;;
01.11.2023 00:09:27;;81,72;;;15,28
01.11.2023 00:09:28;;81,72;;;
01.11.2023 00:09:29;;77,07;;;
01.11.2023 00:09:31;;75,50;53,80;;
01.11.2023 00:09:33;;77,49;;96,60;
01.11.2023 00:09:34;;77,49;;;
01.11.2023 00:09:35;;83,29;;;14,03
01.11.2023 00:09:37;;85,90;;98,46;
01.11.2023 00:09:39;;87,77;54,93;;
01.11.2023 00:09:41;;89,47;;101,20;
01.11.2023 00:09:43;;87,97;;;
01.11.2023 00:09:44;;87,97;;;
01.11.2023 00:09:45;;84,33;;;
01.11.2023 00:09:46;;84,33;;;
01.11.2023 00:09:47;;77,23;;;
01.11.2023 00:09:48;;77,23;;;
01.11.2023 00:09:49;;71,00;53,61;99,73;
01.11.2023 00:09:52;;71,00;;;
01.11.2023 00:09:53;;77,62;;;
01.11.2023 00:09:54;;77,62;;;
01.11.2023 00:09:55;;83,37;55,06;101,69;
01.11.2023 00:09:56;;83,37;;;
01.11.2023 00:09:57;;87,69;;103,10;
01.11.2023 00:09:59;;89,74;56,96;104,66;
01.11.2023 00:10:02;;89,74;;;
01.11.2023 00:10:03;;86,60;;;
01.11.2023 00:10:04;;86,60;;;
01.11.2023 00:10:05;;82,69;55,83;;
01.11.2023 00:10:06;;82,69;;;
01.11.2023 00:10:07;;77,08;;103,35;
01.11.2023 00:10:09;;75,88;;;
01.11.2023 00:10:10;;75,88;;;
01.11.2023 00:10:11;;80,07;;;
01.11.2023 00:10:12;;80,07;;;
01.11.2023 00:10:13;;84,06;;;
01.11.2023 00:10:14;;84,06;;;
01.11.2023 00:10:15;;89,85;;;
01.11.2023 00:10:16;;89,85;;;
01.11.2023 00:10:17;;93,82;;;
01.11.2023 00:10:19;;95,28;57,02;104,47;
01.11.2023 00:10:21;;94,22;55,89;103,27;
01.11.2023 00:10:23;;92,57;;101,79;
01.11.2023 00:10:24;;92,57;;;
01.11.2023 00:10:25;;88,39;;100,41;15,59
01.11.2023 00:10:27;;85,87;;;
01.11.2023 00:10:29;;86,89;;;
01.11.2023 00:10:30;;86,89;;;
01.11.2023 00:10:31;;90,25;54,51;;16,73
01.11.2023 00:10:32;;90,25;;;
01.11.2023 00:10:33;;95,54;;;
01.11.2023 00:10:34;;95,54;;;
01.11.2023 00:10:35;;99,37;;;
01.11.2023 00:10:37;;101,53;;;
01.11.2023 00:10:39;;;;98,90;
01.11.2023 00:10:41;;100,34;;97,58;
01.11.2023 00:10:42;;100,34;;;
01.11.2023 00:10:43;;94,66;;;
01.11.2023 00:10:44;;94,66;;;
01.11.2023 00:10:45;;89,37;52,93;95,97;15,52
01.11.2023 00:10:47;;88,16;;94,88;
01.11.2023 00:10:48;;88,16;;;
01.11.2023 00:10:49;;93,90;;;
01.11.2023 00:10:50;;93,90;;;
01.11.2023 00:10:51;;103,39;;95,97;
01.11.2023 00:10:52;;103,39;;;
01.11.2023 00:10:53;;108,84;;;
01.11.2023 00:10:55;;109,84;;;14,48
01.11.2023 00:10:56;;109,84;;;
01.11.2023 00:10:57;;113,76;;;
01.11.2023 00:10:59;;110,83;;;
01.11.2023 00:11:00;;110,83;;;
01.11.2023 00:11:01;;106,48;;;
01.11.2023 00:11:03;;105,45;;94,82;
01.11.2023 00:11:05;;102,75;;;
01.11.2023 00:11:06;;102,75;;;
01.11.2023 00:11:07;;97,63;;;
01.11.2023 00:11:09;;96,46;51,90;;
01.11.2023 00:11:11;;99,45;;;
01.11.2023 00:11:13;;101,14;;95,98;
01.11.2023 00:11:15;;104,01;;;
01.11.2023 00:11:16;;104,01;;;
01.11.2023 00:11:17;;109,54;;;
01.11.2023 00:11:18;;109,54;;;
01.11.2023 00:11:19;;116,91;53,01;97,83;13,47
01.11.2023 00:11:20;;116,91;;;
01.11.2023 00:11:21;;106,09;;;
01.11.2023 00:11:22;;106,09;;;
01.11.2023 00:11:23;;97,70;;96,14;
01.11.2023 00:11:24;;97,70;;;
01.11.2023 00:11:25;;90,10;;;
01.11.2023 00:11:27;;87,73;;;
01.11.2023 00:11:29;;89,46;;;
01.11.2023 00:11:30;;89,46;;;
01.11.2023 00:11:31;;92,82;;;14,69
01.11.2023 00:11:32;;92,82;;;
01.11.2023 00:11:33;;96,10;;;
01.11.2023 00:11:34;;96,10;;;
01.11.2023 00:11:35;;99,81;;;
01.11.2023 00:11:37;;101,19;;;
01.11.2023 00:11:39;;98,51;;;
01.11.2023 00:11:40;;98,51;;;
01.11.2023 00:11:41;;95,28;;;
01.11.2023 00:11:42;;95,28;;;
01.11.2023 00:11:43;;90,92;;94,52;
01.11.2023 00:11:45;;88,78;;;
01.11.2023 00:11:47;;90,21;;;
01.11.2023 00:11:49;;92,47;;;
01.11.2023 00:11:50;;92,47;;;
01.11.2023 00:11:51;;96,29;;;15,73
01.11.2023 00:11:52;;96,29;;;
01.11.2023 00:11:53;;100,09;;95,53;
