Sps_datum;Trocknung-Durchfluss 7A Netz 700.1 [cm/min];Trocknung-Durchfluss 7B Netz 800.1 [cm/min];Trocknung-Durchfluss 7A Netz 700.5 [cm/min];Trocknung-Durchfluss 7A Netz 700.6 [cm/min];Trocknung-Durchfluss 7C Netz 900.1 [cm/min];
09.11.2023 00:07;NaN;39,23;39,02;69,57;28,95;
09.11.2023 00:22;NaN;53,97;42,65;80,72;19,1;
09.11.2023 00:37;NaN;45,64;40,62;73,6;31,54;
09.11.2023 00:52;NaN;94,18;43,67;81,68;25,67;
09.11.2023 01:07;NaN;77,88;46,68;86,78;30,06;
09.11.2023 01:22;NaN;89,56;45,01;83,96;9,74;
09.11.2023 01:37;NaN;69,4;46,51;88,58;35,16;
09.11.2023 01:52;NaN;70,14;47,11;89,75;38,98;
09.11.2023 02:07;NaN;17,82;33,36;49,46;10,27;
09.11.2023 02:22;NaN;15,9;30,2;48,68;10,9;
09.11.2023 02:37;NaN;92,69;49,6;96,05;15,97;
09.11.2023 02:52;NaN;97,84;44,88;85,09;21,84;
09.11.2023 03:07;NaN;92,01;52,19;102,85;21,8;
09.11.2023 03:22;NaN;99,42;46,82;90,67;28,69;
09.11.2023 03:37;NaN;86,84;47,15;91,75;15,16;
09.11.2023 03:52;NaN;78,22;45,62;87,83;32,32;
09.11.2023 04:07;NaN;70,75;47,98;93,92;16,96;
09.11.2023 04:22;NaN;93,86;47,78;90,25;17,61;
09.11.2023 04:37;NaN;43,47;38,08;69,23;16,68;
09.11.2023 04:52;NaN;38,16;35,34;62,85;15,96;
09.11.2023 05:07;NaN;45,77;37,41;68,48;30,38;
09.11.2023 05:22;NaN;71,28;47,74;95,72;23,47;
09.11.2023 05:37;NaN;84,43;47,11;93,18;21,93;
09.11.2023 05:52;NaN;94,21;46,55;92,19;54,53;
09.11.2023 06:07;NaN;69,05;45,72;90,59;31,41;
09.11.2023 06:22;NaN;44,1;35,25;61,44;29,32;
09.11.2023 06:37;NaN;84,56;47,88;98,95;24,59;
09.11.2023 06:52;NaN;92,49;48,8;95,17;20,38;
09.11.2023 07:07;NaN;46,6;46,1;86,72;18,81;
09.11.2023 07:22;NaN;63,27;45,81;86,37;28,12;
09.11.2023 07:37;NaN;85,52;51,39;105,35;59,27;
09.11.2023 07:52;NaN;78,78;46,19;91,69;30,9;
09.11.2023 08:07;NaN;75,71;45;86,51;34,36;
09.11.2023 08:22;NaN;80,63;48,26;96,17;31,45;
09.11.2023 08:37;NaN;61,98;42,44;81,97;48,11;
09.11.2023 08:52;NaN;86,75;48,42;100,88;31,67;
09.11.2023 09:07;NaN;65,77;41,63;78,71;42,99;
09.11.2023 09:22;NaN;19,03;32,72;60,41;13,89;
09.11.2023 09:37;NaN;28,09;33,58;61,12;19,63;
09.11.2023 09:52;NaN;35,04;32,57;57,7;27,71;
09.11.2023 10:07;NaN;90,61;44,86;90,51;28,42;
09.11.2023 10:22;NaN;86;47,02;95,26;36,32;
09.11.2023 10:37;NaN;71,49;48,22;96,62;41,61;
09.11.2023 10:52;NaN;61,36;41,92;80,18;28,5;
09.11.2023 11:07;NaN;93,39;50,6;103,24;28,03;
09.11.2023 11:22;NaN;94,3;45,84;90,55;24,59;
09.11.2023 11:37;NaN;83,84;43,64;84,16;30,68;
09.11.2023 11:52;NaN;52,2;42,3;80,56;23,81;
09.11.2023 12:07;NaN;92,55;48,19;92,49;50,12;
09.11.2023 12:22;NaN;60,69;46,25;89,58;36,47;
09.11.2023 12:37;NaN;78,83;46,29;90,41;34,68;
09.11.2023 12:52;NaN;63,67;46,7;89,75;29,64;
09.11.2023 13:07;NaN;87,78;48,13;91,03;26,76;
09.11.2023 13:22;NaN;78,67;45,85;93,18;40,97;
09.11.2023 13:37;NaN;85,96;54,34;110,86;22,27;
09.11.2023 13:52;NaN;75,38;45,24;86,86;22,38;
09.11.2023 14:07;NaN;89,09;50,96;99,12;23,9;
09.11.2023 14:22;NaN;89,43;46,98;91,32;32,91;
09.11.2023 14:37;NaN;94,38;50,4;97,41;20,57;
09.11.2023 14:52;NaN;89,31;52,18;98,71;25,78;
09.11.2023 15:07;NaN;25,27;36,52;65,26;41,97;
09.11.2023 15:22;NaN;87,47;51,64;103,09;23,4;
09.11.2023 15:37;NaN;87,82;48,65;91,68;23,22;
09.11.2023 15:52;NaN;76,65;51,22;93,3;17,37;
09.11.2023 16:07;NaN;65,55;49,47;94,01;50,79;
09.11.2023 16:22;NaN;79,12;48,76;88,27;29,38;
09.11.2023 16:37;NaN;73,87;44,73;80,71;15,01;
09.11.2023 16:52;NaN;77,13;47,29;85,58;24,79;
09.11.2023 17:07;NaN;82,13;44,6;77,46;19,37;
09.11.2023 17:22;NaN;51,87;48,49;89,21;17,4;
09.11.2023 17:37;NaN;58,48;44,85;76,21;19,88;
09.11.2023 17:52;NaN;101;65,87;120,12;41,66;
09.11.2023 18:07;NaN;38,52;36,76;58,08;11,56;
09.11.2023 18:22;NaN;52,3;36,63;59,95;15,29;
09.11.2023 18:37;NaN;73,55;45,34;77,75;17,14;
09.11.2023 18:52;NaN;69,86;52,19;92,39;28,12;
09.11.2023 19:07;NaN;64,62;47,02;86,86;19,88;
09.11.2023 19:22;NaN;62,77;47,15;80,8;30,3;
09.11.2023 19:37;NaN;70,24;44,54;74,89;23,18;
09.11.2023 19:52;NaN;78,72;42,58;72,09;20,69;
09.11.2023 20:07;NaN;100,92;53,98;98,65;23,31;
09.11.2023 20:22;NaN;55,43;43,46;71,89;36,72;
09.11.2023 20:37;NaN;41,7;40,37;64,53;28,77;
09.11.2023 20:52;NaN;36,91;39,22;62,11;16,72;
09.11.2023 21:07;NaN;55,84;48,98;88,29;19,93;
09.11.2023 21:22;NaN;68,13;46,83;78,91;38,7;
09.11.2023 21:37;NaN;72,86;46,33;80,95;16,98;
09.11.2023 21:52;NaN;55,72;40,02;67,59;29,59;
09.11.2023 22:07;NaN;81,13;42,16;69,77;26,35;
09.11.2023 22:22;NaN;33,78;46,33;77,93;11,77;
09.11.2023 22:37;NaN;73,45;45,36;80,08;28,96;
09.11.2023 22:52;NaN;90,09;45,47;80,76;31,09;
09.11.2023 23:07;NaN;65,37;50,42;90,64;10,69;
09.11.2023 23:22;NaN;84,78;49,29;86,35;14,83;
09.11.2023 23:37;NaN;68,55;46,92;83,63;25,56;
09.11.2023 23:52;NaN;71,38;45,51;77,07;27,03;
